Designator,Comment,Layer,Footprint,Center-X(mil),Center-Y(mil),Rotation,Description
Rd3,RC0402FR-071KL,BottomLayer,FP-RC0402-0_4-IPC_A,1538.841,1595,180,RES 1K OHM 1% 1/16W 0402
Rd10,AC0402FR-0710KL,BottomLayer,FP-AC0402-MFG,1065.315,1915,180,RES 10kO ±1% 0.063W 0402
Rd11,AC0402FR-0710KL,BottomLayer,FP-AC0402-MFG,1065,1850,180,RES 10kO ±1% 0.063W 0402
Rd12,AC0402FR-0710KL,BottomLayer,FP-AC0402-MFG,1065,1785,180,RES 10kO ±1% 0.063W 0402
Rd13,AC0402FR-0710KL,BottomLayer,FP-AC0402-MFG,1065,1720,180,RES 10kO ±1% 0.063W 0402
Rp22,RC0402FR-071KL,BottomLayer,FP-RC0402-0_4-IPC_A,970,987.923,180,RES 1K OHM 1% 1/16W 0402
Rp20,RT0402DRE0718K2L,BottomLayer,FP-RT0402-MFG,1135,1092.923,270,RES SMD 18.2K OHM 0.5% 1/16W
Rp16,15kO,BottomLayer,RESC1005X40X25NL05T10,430,900,0,
Rp15,4.75kO,BottomLayer,RESC1005X40X25LL05T10,195,1460,270,
Rp14,PE0402JRF070R02L,BottomLayer,FP-PE0402-0_5-MFG,420,350,270,RES 0.02 OHM 5% 1/16W 0402
Rp13,RT0402CRD0747K5L,BottomLayer,FP-RT0402-MFG,325,900,0,RES SMD 47.5K OHM 1/16W 0402
Rp12,RC0402FR-072KL,BottomLayer,FP-RC_L0402-MFG,229.198,217.568,180,RES SMD 2K OHM 1% 1/16W 0402
Rp11,RC0402FR-072KL,BottomLayer,FP-RC_L0402-MFG,180,145,180,RES SMD 2K OHM 1% 1/16W 0402
Rp10,RC0402FR-072KL,BottomLayer,FP-RC_L0402-MFG,155,62.923,180,RES SMD 2K OHM 1% 1/16W 0402
Rp9,4.12kO,BottomLayer,RESC1005X40X25ML05T10,825,795,180,
Rp8,4.75kO,BottomLayer,RESC1005X40X25LL05T10,530,1319.764,270,
Rp7,PE0402JRF070R02L,BottomLayer,FP-PE0402-0_5-MFG,1045,375,270,RES 0.02 OHM 5% 1/16W 0402
Rp6,7.15kO,BottomLayer,RESC1005X40X25ML05T10,706.299,795,180,
Rp5,RC0402FR-072KL,BottomLayer,FP-RC_L0402-MFG,965,60,180,RES SMD 2K OHM 1% 1/16W 0402
Rp3,RC0402FR-072KL,BottomLayer,FP-RC_L0402-MFG,965,140,180,RES SMD 2K OHM 1% 1/16W 0402
Rp2,RC0402FR-072KL,BottomLayer,FP-RC_L0402-MFG,960,235,180,RES SMD 2K OHM 1% 1/16W 0402
Rd4,5.23kO,BottomLayer,RESC1005X40X25NL05T10,1590,1395,180,RC0402FR-075K23L
Rd2,10kO,BottomLayer,FP-AC0402-MFG,1659.685,1595,180,"AC0402FR-0710KL, RES 10kO ±1% 0.063W 0402"
Rd1,2kO,BottomLayer,FP-RC_L0402-MFG,1755,1624.684,270,"RC0402FR-072KL, RES SMD 2K OHM 1% 1/16W 0402"
Cp24,4.7uF,BottomLayer,FP-GRM188-0_2-IPC_A,1180,1335,90,"Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 4.7uF, X7R, 15%, 10%, 16V"
Cp23,10uF,BottomLayer,FP-GRM188-0_2-IPC_C,1075,1316.355,90,"Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 10uF, X7R, 15%, 10%, 10V"
Cp22,GRM155R61C225ME44D,BottomLayer,FP-GRM155-0_1-MFG,975,1347.923,180,"Chip Multilayer Ceramic Capacitors for General Purpose, 0402, 2.2uF, X5R, 15%, 20%, 16V"
Cp21,CC0402KRX7R7BB104,BottomLayer,FP-CC0402-MFG,183.987,617.923,180,CAP CER 0.1UF 16V X7R 0402
Cp20,C0402C103K4RACTU,BottomLayer,FP-C0402-BB-MFG,360,1290,0,CAP CER 10000PF 16V X7R 0402
Cp19,10uF,BottomLayer,FP-GRM188-0_2-IPC_C,306.356,1435,0,"Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 10uF, X7R, 15%, 10%, 10V"
Cp18,10uF,BottomLayer,FP-GRM188-0_2-IPC_C,205,1320,180,"Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 10uF, X7R, 15%, 10%, 10V"
Cp17,10uF,BottomLayer,FP-GRM188-0_2-IPC_C,213.644,880,180,"Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 10uF, X7R, 15%, 10%, 10V"
Cp16,10uF,BottomLayer,FP-GRM188-0_2-IPC_C,206.013,787.077,180,"Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 10uF, X7R, 15%, 10%, 10V"
Cp15,10uF,BottomLayer,FP-GRM188-0_2-IPC_C,288.987,1797.923,180,"Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 10uF, X7R, 15%, 10%, 10V"
Cp14,CC0402KRX7R7BB104,BottomLayer,FP-CC0402-MFG,715,495,270,CAP CER 0.1UF 16V X7R 0402
Cp13,CC0402KRX7R7BB102,BottomLayer,FP-CC0402-MFG,740,965,90,CAP CER 1000PF 16V X7R 0402
Cp12,10uF,BottomLayer,FP-GRM188-0_2-IPC_C,563.006,617.923,180,"Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 10uF, X7R, 15%, 10%, 10V"
Cp11,4.7uF,BottomLayer,FP-GRM188-0_2-IPC_A,540,710,180,"Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 4.7uF, X7R, 15%, 10%, 16V"
Cp10,10uF,BottomLayer,FP-GRM188-0_2-IPC_C,635,1155,0,"Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 10uF, X7R, 15%, 10%, 10V"
Cp9,4.7 uF,BottomLayer,FP-GRM188-0_2-IPC_A,645,1245,0,"Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 4.7uF, X7R, 15%, 10%, 16V"
Cp5,10uF,BottomLayer,FP-GRM188-0_2-IPC_C,745,1555,0,"Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 10uF, X7R, 15%, 10%, 10V"
Cd11,4.7uF,BottomLayer,FP-GRM188-0_2-IPC_C,1605,1215,180,"Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 4.7uF, X5R, 15%, 10%, 35V"
Cd10,4.7uF,BottomLayer,FP-GRM188-0_2-IPC_C,1930,840,90,"Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 4.7uF, X5R, 15%, 10%, 35V"
