Altium Designer Pick and Place Locations
C:\Users\Daniel's Laptop\Documents\Daniel College\2024 Victory Lap\Fall Semester\ECEN 404\404_Capstone\Capstone Altium Project\404_Capstone\Project Outputs for RF Waveform Generator Project\Pick Place for RF Waveform Generator Layout.txt

========================================================================================================================
File Design Information:

Date:       16/10/24
Time:       12:11
Revision:   d6276af25280b43bb1a551f686fa4c74b4999b84
Variant:    No variations
Units used: mil

Designator Comment                Layer       Footprint                 Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                          
Up5        TPS61299YBHR           BottomLayer Boost                     260.315       1540.866      270      "No Description Available"                                                                                                           
Rp1        "0 Ohms"               TopLayer    RESC1005X40X25NL05T10     70.000        1495.000      90       RC0402JR-070RL                                                                                                                       
Up1        TPS61299YBHR           BottomLayer Boost                     601.063       1425.197      270      "No Description Available"                                                                                                           
""         VCO                    TopLayer    VCO                       1440.000      800.000       270      ""                                                                                                                                   
Lr1        18nH                   TopLayer    0603CS82NXGLW             1630.000      205.000       180      0603CS-18NXJLW                                                                                                                       
"RF Amp"   Comment                TopLayer    ""                        1500.630      169.685       0        "Integrated Circuit"                                                                                                                 
Rr4        3kO                    TopLayer    RESC1005X40X25LL10T10     1410.000      257.284       90       CR0402-JW-302GLF                                                                                                                     
Rr03       8.2O                   TopLayer    RESC1005X40X25LL05T10     1257.677      300.000       0        RC0402JR-078                                                                                                                         
Rr02       15O                    TopLayer    RESC1005X40X25LL05T10     1290.236      250.000       0        RC0402FR-0715RL                                                                                                                      
Rr1        20kO                   TopLayer    RESC1005X40X25NL05T10     1625.000      65.000        90       RC0402JR-0720KL                                                                                                                      
Rr01       15O                    TopLayer    RESC1005X40X25LL05T10     1287.677      350.000       0        RC0402FR-0715RL                                                                                                                      
Cr8        1uF                    TopLayer    FP-CC0402-MFG             1875.315      655.039       180      "CC0402KRX5R6BB105, CAP CER 1UF 10V X5R 0402"                                                                                        
Cr7        1000pF                 TopLayer    FP-CC0402-MFG             1880.000      585.039       180      "CC0402KRX7R7BB102, CAP CER 1000PF 16V X7R 0402"                                                                                     
Cr6        100pF                  TopLayer    FP-C0402-BB-MFG           1485.000      309.252       270      "C0402C101J5GACTU, CAP CER 100PF 50V C0G/NP0 0402"                                                                                   
Cr4        1uF                    TopLayer    FP-CC0402-MFG             1650.000      375.000       0        "CC0402KRX5R6BB105, CAP CER 1UF 10V X5R 0402"                                                                                        
Cr3        1000pF                 TopLayer    FP-CC0402-MFG             1649.685      305.000       0        "CC0402KRX7R7BB102, CAP CER 1000PF 16V X7R 0402"                                                                                     
Cr2        100pF                  TopLayer    FP-C0402-BB-MFG           1720.000      182.284       0        "C0402C101J5GACTU, CAP CER 100PF 50V C0G/NP0 0402"                                                                                   
Cr1        100pF                  TopLayer    FP-C0402-BB-MFG           1320.000      179.961       0        "C0402C101J5GACTU, CAP CER 100PF 50V C0G/NP0 0402"                                                                                   
